Condition,Loss,Iteration
WT2#B2,0.47257841202697665,1
WT2#B2,0.22425814191196797,10
WT2#B2,0.1931093472133496,100
WT2#B2,0.17633231494507948,1000
WT2#B2,0.15867323846879888,10000
WT2#B2,0.15865956651248608,10250
WT2#B2,0.15865456376498507,10500
WT2#B2,0.15865044322852995,10750
WT2#B2,0.1586464109487395,11000
WT2#B2,0.1586423686857335,11250
WT2#B2,0.15863848040792042,11500
WT2#B2,0.1760173901605643,1250
WT2#B2,0.1751465907147455,1500
WT2#B2,0.17451447208641205,1750
WT2#B2,0.38154402907173435,2
WT2#B2,0.2176915032062443,20
WT2#B2,0.18489343101767497,200
WT2#B2,0.1739854253888097,2000
WT2#B2,0.17383472339747877,2250
WT2#B2,0.18464010428517352,250
WT2#B2,0.17248720049337835,2500
WT2#B2,0.17245570511857172,2750
WT2#B2,0.3257111985850085,3
WT2#B2,0.2108045088631313,30
WT2#B2,0.18321259956591054,300
WT2#B2,0.17243752228715126,3000
WT2#B2,0.17242515130163166,3250
WT2#B2,0.17241477786718504,3500
WT2#B2,0.17240627185807966,3750
WT2#B2,0.2839058780538087,4
WT2#B2,0.20656384113719034,40
WT2#B2,0.18288510025077334,400
WT2#B2,0.17239874019402723,4000
WT2#B2,0.1722341063327932,4250
WT2#B2,0.17221143855934828,4500
WT2#B2,0.17163641409834068,4750
WT2#B2,0.2558224431883827,5
WT2#B2,0.20547922233765029,50
WT2#B2,0.18188730214501747,500
WT2#B2,0.1715664548397917,5000
WT2#B2,0.17018438522129772,5250
WT2#B2,0.1699401011773962,5500
WT2#B2,0.16893622063362254,5750
WT2#B2,0.24161157028292674,6
WT2#B2,0.2005968548072042,60
WT2#B2,0.1815825795769677,600
WT2#B2,0.16887208083944305,6000
WT2#B2,0.16851474693164084,6250
WT2#B2,0.16847891416907407,6500
WT2#B2,0.16816657976013202,6750
WT2#B2,0.23095091075488683,7
WT2#B2,0.19789517935524867,70
WT2#B2,0.17709535857244615,700
WT2#B2,0.16812861217576733,7000
WT2#B2,0.16810520271331544,7250
WT2#B2,0.17699295926064162,750
WT2#B2,0.16808415226401358,7500
WT2#B2,0.1680159893366452,7750
WT2#B2,0.22492221468503637,8
WT2#B2,0.1965918883778902,80
WT2#B2,0.17669397412799998,800
WT2#B2,0.16788169460136357,8000
WT2#B2,0.1678548120021212,8250
WT2#B2,0.16776967680457924,8500
WT2#B2,0.16761303819393944,8750
WT2#B2,0.22449134438617266,9
WT2#B2,0.19495695319487616,90
WT2#B2,0.17660902343547155,900
WT2#B2,0.15936350967826488,9000
WT2#B2,0.15901027468945045,9250
WT2#B2,0.1589922694652033,9500
WT2#B2,0.1589755056823323,9750
