Condition,Loss,Iteration
pgi1#B1,0.48967341077976395,1
pgi1#B1,0.23879077504952306,10
pgi1#B1,0.20031866829408687,100
pgi1#B1,0.1857423984459713,1000
pgi1#B1,0.18100867381699132,10000
pgi1#B1,0.18099465369155157,10250
pgi1#B1,0.18098058291560723,10500
pgi1#B1,0.18096397860866287,10750
pgi1#B1,0.18095260392733692,11000
pgi1#B1,0.18093931463836996,11250
pgi1#B1,0.18092825563935636,11500
pgi1#B1,0.1783996542375396,11750
pgi1#B1,0.17828173138715206,12000
pgi1#B1,0.1781010248252088,12250
pgi1#B1,0.18565508234655223,1250
pgi1#B1,0.17796676858121122,12500
pgi1#B1,0.1774987633829631,12750
pgi1#B1,0.1774603021636376,13000
pgi1#B1,0.17741432503625115,13250
pgi1#B1,0.1773992892554307,13500
pgi1#B1,0.1773873569579934,13750
pgi1#B1,0.17737537353186103,14000
pgi1#B1,0.17735783704222755,14250
pgi1#B1,0.17734261915831478,14500
pgi1#B1,0.17732959498307194,14750
pgi1#B1,0.18558390250171525,1500
pgi1#B1,0.17731940708879956,15000
pgi1#B1,0.17691048104859877,15250
pgi1#B1,0.17688410158793583,15500
pgi1#B1,0.17684550018906753,15750
pgi1#B1,0.1768301373851265,16000
pgi1#B1,0.1768141491591129,16250
pgi1#B1,0.17680091373901013,16500
pgi1#B1,0.17678619801907727,16750
pgi1#B1,0.1767685488479411,17000
pgi1#B1,0.1755961437514547,17250
pgi1#B1,0.1845409977907429,1750
pgi1#B1,0.17557659579732202,17500
pgi1#B1,0.17553327144787859,17750
pgi1#B1,0.17547671483990518,18000
pgi1#B1,0.1754129770397737,18250
pgi1#B1,0.1751885520426722,18500
pgi1#B1,0.1751820939717519,18750
pgi1#B1,0.1751745496129903,19000
pgi1#B1,0.17516898215488774,19250
pgi1#B1,0.17516250462949298,19500
pgi1#B1,0.17515011939666975,19750
pgi1#B1,0.39786332663930174,2
pgi1#B1,0.22953884125238502,20
pgi1#B1,0.1954486769257277,200
pgi1#B1,0.18446992457848077,2000
pgi1#B1,0.17513340182098816,20000
pgi1#B1,0.17511975513414327,20250
pgi1#B1,0.17511414486767277,20500
pgi1#B1,0.17510752790427295,20750
pgi1#B1,0.17509452659935812,21000
pgi1#B1,0.17508447904577024,21250
pgi1#B1,0.17506584165575587,21500
pgi1#B1,0.17505942359313492,21750
pgi1#B1,0.17504299342474294,22000
pgi1#B1,0.17497664079779227,22250
pgi1#B1,0.18437754823993502,2250
pgi1#B1,0.17495996726238064,22500
pgi1#B1,0.17367591734618457,22750
pgi1#B1,0.1736653574686579,23000
pgi1#B1,0.17364952565290095,23250
pgi1#B1,0.17364201874659485,23500
pgi1#B1,0.17363359202881706,23750
pgi1#B1,0.17362063554735055,24000
pgi1#B1,0.19304970824229448,250
pgi1#B1,0.18391058806805244,2500
pgi1#B1,0.18385798051107602,2750
pgi1#B1,0.3453463409614374,3
pgi1#B1,0.22192064688803365,30
pgi1#B1,0.19287718148671493,300
pgi1#B1,0.1837907855585548,3000
pgi1#B1,0.1837239446258271,3250
pgi1#B1,0.18364738497457136,3500
pgi1#B1,0.1836054353465504,3750
pgi1#B1,0.3050009564571326,4
pgi1#B1,0.21399537262107235,40
pgi1#B1,0.19255813860373167,400
pgi1#B1,0.18172179590301948,4000
pgi1#B1,0.18149086176183254,4250
pgi1#B1,0.1814150083356614,4500
pgi1#B1,0.18137109152945827,4750
pgi1#B1,0.2780454373049761,5
pgi1#B1,0.20813303836999497,50
pgi1#B1,0.19155244031314955,500
pgi1#B1,0.18133878838623893,5000
pgi1#B1,0.181310371899232,5250
pgi1#B1,0.18128361265910714,5500
pgi1#B1,0.1812616548442431,5750
pgi1#B1,0.2643007870525675,6
pgi1#B1,0.2029774893206311,60
pgi1#B1,0.18647647321609556,600
pgi1#B1,0.18124062694955004,6000
pgi1#B1,0.1812230138640473,6250
pgi1#B1,0.18120528424738358,6500
pgi1#B1,0.18119241426316493,6750
pgi1#B1,0.2551076733120737,7
pgi1#B1,0.20229430479751595,70
pgi1#B1,0.18621667875808734,700
pgi1#B1,0.18117635482980618,7000
pgi1#B1,0.18116213483692103,7250
pgi1#B1,0.18615630229833025,750
pgi1#B1,0.18114713917571806,7500
pgi1#B1,0.1811330870466294,7750
pgi1#B1,0.24550630180794875,8
pgi1#B1,0.20081000774355706,80
pgi1#B1,0.18613103603043174,800
pgi1#B1,0.18111816073280063,8000
pgi1#B1,0.18110522825685416,8250
pgi1#B1,0.1810905237583628,8500
pgi1#B1,0.1810746564000707,8750
pgi1#B1,0.24438666232341918,9
pgi1#B1,0.20055284582014526,90
pgi1#B1,0.18580893093397438,900
pgi1#B1,0.18106135405611304,9000
pgi1#B1,0.18105080061825765,9250
pgi1#B1,0.18103482158479137,9500
pgi1#B1,0.1810225188454488,9750
